"","Sample","lib","aligned_reads","ambig_reads","discarded_reads","meth_chg","meth_chh","meth_cpg","no_alignments","percent_aligned","percent_chg_meth","percent_chh_meth","percent_cpg_meth","strand_ctob","strand_ctot","strand_directional","strand_ob","strand_ot","total_c","total_reads","unmeth_chg","unmeth_chh","unmeth_cpg","Filename","File type","Encoding","Total Sequences","Sequences flagged as poor quality","Sequence length","%GC","total_deduplicated_percentage","avg_sequence_length","median_sequence_length","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","sample_id"
"1","110","lib1",3443811,270469,1349,3912271,1236826,12351426,3917946,45.1219735893565,6.7,1.1,27.2,0,0,"directional",1743084,1699378,214717058,7632226,54191620,110032852,32992063,"110_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7632226,0,"20-141",33,31.0643221209754,113.468772806256,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib1_110"
"2","111","lib1",2513227,183624,1192,2742852,596998,9016562,2642099,47.0734320418809,6.5,0.7,28,0,0,"directional",1264418,1247617,155320333,5338950,39696179,80086767,23180975,"111_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5338950,0,"20-141",33,34.2133012162049,112.286550726266,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib1_111"
"3","113","lib1",3847299,267809,1654,4191366,889227,15422838,3562054,50.1135575880775,6.3,0.7,34.1,0,0,"directional",1929254,1916391,240158917,7677162,62472040,127381468,29801978,"113_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7677162,0,"20-141",32,31.7718766525123,114.702043541611,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib1_113"
"4","114","lib1",3873272,290393,1557,4221400,822123,15869720,3720298,49.1284903290388,6.2,0.6,32.5,0,0,"directional",1939100,1932615,245764325,7883963,63442012,128426183,32982887,"114_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7883963,0,"20-141",32,30.8791694138078,116.349840429236,137,"pass","pass","pass","pass","fail","warn","pass","warn","fail","warn","pass","lib1_114"
"5","131","lib1",1243382,108504,468,1360013,307444,4572607,1396290,45.2438999540059,6.8,0.8,29.8,0,0,"directional",625644,617270,73353839,2748176,18637886,37703991,10771898,"131_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2748176,0,"20-141",33,45.8830750392872,108.89375098247,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib1_131"
"6","132","lib1",2727282,224385,1206,3048731,806838,10637148,3161725,44.6116002376422,6.5,0.9,28.9,0,0,"directional",1370757,1355319,171542347,6113392,43666196,87172089,26211345,"132_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6113392,0,"20-141",33,32.4037784516589,113.803658100119,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib1_132"
"7","164","lib1",1439190,93153,578,1596352,387598,5954360,1654658,45.1581282842396,6.1,0.8,28.9,0,0,"directional",725333,713279,97022703,3187001,24765416,49704225,14614752,"164_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3187001,0,"20-141",33,35.5520378066246,121.471532013953,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib1_164"
"8","165","lib1",968199,64815,456,1136516,363013,3553112,1082583,45.7648124855537,7.1,1.2,27.1,0,0,"directional",484928,482815,58939425,2115597,14873861,29439046,9573877,"165_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2115597,0,"20-141",33,47.558939008693,109.140790046498,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib1_165"
"9","166","lib1",2845854,167252,1110,3198905,803226,10390318,2957972,47.6606401725116,6.6,0.9,26.3,0,0,"directional",1428286,1416458,179212423,5971078,45435822,90302728,29081424,"166_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5971078,0,"20-141",33,34.9523046944609,112.45258226404,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib1_166"
"10","192","lib1",6250040,313966,2530,7008913,1885716,23537445,6625497,47.3864708928001,6.1,0.9,25.6,0,0,"directional",3149092,3098418,424408776,13189503,107924392,215792843,68259467,"192_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",13189503,0,"20-141",33,27.3885143939653,120.180157963496,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib1_192"
