id,year,nextyear,eyec_nextyear,blue_nextyear,lyre_nextyear,attend_nextyear,fight_nextyear,dist_nextyear,MS_nextyear,
D211334,2005,2006,3.43,0.266,212,0.97,NA,16.28,,Found
D211445,2005,2006,5.89,0.27,232,0.93,0.16,21.54,,
D217896,2006,2007,NA,NA,NA,0.96,0.47,26.93,,Seen not caught
D217910,2005,2006,NA,0.256,232,0.97,NA,47,,
D217911,2005,2006,3.12,0.272,225,NA,NA,NA,,Caught but not on lek. May have died between capture and lek.
D217949,2006,2007,3.26,0.266,234,0.94,0.41,4,,
D217961,2006,2007,3.53,0.264,226,0.99,0.43,12.65,,
D217965,2006,2007,3.5,0.242,216,0.66,0.04,37.44,,
D229096,2007,2008,7.16,0.232,215,1,0.18,9.06,,
D229160,2005,2006,NA,0.23,232,0.96,NA,15.81,,
D229160,2006,2007,NA,0.23,228,0.64,0.2,15.23,,
D229165,2007,2008,5.49,0.239,210,0.15,0.25,5.66,,
D229167,2006,2007,3.16,0.26,218,0.84,0.29,29.15,,
D229167,2007,2008,4.51,0.309,217,0.65,0.29,24.6,,
D229170,2006,2007,3.83,0.25,223,0.97,0.32,4,,
D229186,2006,2007,NA,NA,NA,1,0.34,5.1,,Seen not caught
D229193,2007,2008,4.66,0.258,230,0.92,0.08,11.07,,
D229509,2006,2007,NA,NA,NA,0.28,0.13,27.46,,Seen not caught
D229633,2006,2007,3.54,0.273,247,NA,NA,NA,,Caught but not lek. Could be 0 for fight and attend as deffo live to next year.
D229658,2007,2008,3.65,0.255,209,0.73,0.29,7.63,,
D229679,2006,2007,NA,0.263,235,0.93,0.66,29.41,,
D229679,2007,2008,NA,0.312,236,1,0.35,22.2,,missing eyecomb data
D229718,2006,2007,3.52,0.213,231,0.26,0.06,42.8,,"Those two values are NA, but calculated from raw data - might be that these are below the limit to accurate calculate (hence excluded)."
D229734,2006,2007,NA,NA,NA,0.91,0.13,37.22,,Seen not caught
D229772,2007,2008,4.42,0.243,218,0.84,0.08,20.02,,
D229776,2007,2008,NA,NA,NA,0.05,NA,NA,,No other data
D229783,2006,2007,NA,NA,NA,1,0.28,5.1,,Seen not caught
D237361,2007,2008,5.89,0.266,223,0.91,0.1,17.49,,
D237389,2007,2008,NA,NA,NA,0.87,0.2,5,,
D237394,2007,2008,4.81,0.233,226,0.98,0.09,7.21,,
D229635,2006,2007,NA,NA,NA,0.77,0.3,41.01,1,Observation data in 2007
D229154,2006,2007,NA,0.244,233,0.99,0.51,6.08,2,Missing  - 2006 data and 2007
D229783,2006,2007,NA,NA,NA,1,0.28,5.1,1,Observation data in 2007
