id,core,year,age,age_cat,lifespan,site,born,julian,MS,dist,attend,fight,eyec,blue,surv,eyec_nextyear,blue_nextyear,spots_tip_nextyear,lyre_nextyear,attend_nextyear,fight_nextyear,dist_nextyear,MS_nextyear
D154299,Core,2005,3,adult,3,TEE,2002,13,3,9.49,1,0.36,4.93,0.255,0,NA,NA,,NA,NA,NA,NA,NA
D211431,Core,2005,3,adult,3,NYR,2002,66,5,2,0.93,0.37,4.86,0.272,0,NA,NA,,NA,NA,NA,NA,NA
D217821,Core,2006,4,adult,4,NYR,2002,20,2,3.16,0.89,0.15,4.21,NA,0,NA,NA,,NA,NA,NA,NA,NA
D217949,Core,2007,3,adult,3,NYR,2004,24,11,4,0.94,0.41,3.26,0.266,0,NA,NA,,NA,NA,NA,NA,NA
D229097,Core,2006,2,adult,2,SAA,2004,24,0,10.05,0.97,0.58,4.03,0.24,0,NA,NA,,NA,NA,NA,NA,NA
D229103,Core,2006,2,adult,2,SAA,2004,10,0,24.7,0.89,0.01,4.14,0.265,0,NA,NA,,NA,NA,NA,NA,NA
D229162,Core,2007,3,adult,3,SAA,2004,23,0,19.42,0.84,0.17,3.12,0.238,0,NA,NA,,NA,NA,NA,NA,NA
D229170,Core,2007,3,adult,3,SAA,2004,23,12,4,0.97,0.32,3.83,0.25,0,NA,NA,,NA,NA,NA,NA,NA
D229171,Core,2006,2,adult,2,SAA,2004,59,1,19.85,0.82,0.34,4.72,0.252,0,NA,NA,,NA,NA,NA,NA,NA
D229192,Core,2006,2,adult,2,KUM,2004,23,1,6.58,1,0.36,4.76,0.26,0,NA,NA,,NA,NA,NA,NA,NA
D229714,Core,2006,1,yearling,1,NYR,2005,13,1,56.08,0.39,0.06,2.09,0.253,0,NA,NA,,NA,NA,NA,NA,NA
D229735,Core,2007,2,adult,2,KUM,2005,40,0,44.69,0.42,0.21,3.67,0.271,0,NA,NA,,NA,NA,NA,NA,NA
D237378,Core,2007,1,yearling,1,NYR,2006,33,3,5.39,0.87,0.29,1.49,0.204,0,NA,NA,,NA,NA,NA,NA,NA
D154259,No core,2005,NA,adult,NA,TEE,NA,56,1,7.16,1,0.12,4.34,0.278,0,NA,NA,,NA,NA,NA,NA,NA
D211312,No core,2005,NA,adult,NA,NYR,NA,31,0,17.12,0.88,0.15,2.65,0.272,0,NA,NA,,NA,NA,NA,NA,NA
D211334,No core,2006,NA,adult,NA,LEH,NA,17,1,16.28,0.97,NA,NA,0.266,0,NA,NA,,NA,NA,NA,NA,NA
D217910,No core,2006,NA,adult,NA,NYR,NA,13,0,47,0.97,NA,NA,0.256,0,NA,NA,,NA,NA,NA,NA,NA
D217964,No core,2006,NA,adult,NA,NYR,NA,35,3,36.01,1,NA,NA,0.282,0,NA,NA,,NA,NA,NA,NA,NA
D229025,No core,2007,NA,adult,NA,KUM,NA,24,1,19.42,0.77,0.2,NA,0.279,0,NA,NA,,NA,NA,NA,NA,NA
D229161,No core,2005,NA,adult,NA,SAA,NA,41,4,14.14,0.98,0.6,3.79,0.228,0,NA,NA,,NA,NA,NA,NA,NA
D229775,No core,2007,NA,adult,NA,SAA,NA,30,0,11.66,0.04,NA,NA,0.234,0,NA,NA,,NA,NA,NA,NA,NA
D237277,No core,2007,NA,adult,NA,NYR,NA,54,2,19.65,0.94,0.27,NA,0.278,0,NA,NA,,NA,NA,NA,NA,NA
D237278,No core,2007,NA,adult,NA,NYR,NA,54,1,12.04,0.97,0.39,NA,0.246,0,NA,NA,,NA,NA,NA,NA,NA
D217977,No core,2006,NA,adult,NA,KUM,NA,30,2,5.1,0.94,NA,NA,0.24,0,NA,NA,,NA,NA,NA,NA,NA
D229160,No core,2007,NA,adult,NA,SAA,NA,30,1,15.23,0.64,0.2,NA,0.23,0,NA,NA,,NA,NA,NA,NA,NA
D217949,Core,2006,2,adult,3,NYR,2004,35,5,18.12,0.89,0.14,3.32,NA,1,3.26,0.266,0,234,0.94,0.41,4,11
D217965,Core,2006,3,adult,4,NYR,2003,20,0,58.01,0.74,0.04,3.33,0.254,1,3.5,0.242,2,216,0.66,0.04,37.44,0
D229096,Core,2007,3,adult,6,NYR,2004,33,4,13.04,0.93,0.3,3.71,0.211,1,7.16,0.232,0,215,1,0.18,9.06,10
D229167,Core,2006,2,adult,4,KUM,2004,47,7,13.6,0.94,0.41,5.69,0.243,1,3.16,0.26,6,218,0.84,0.29,29.15,9
D229167,Core,2007,3,adult,4,KUM,2004,16,9,29.15,0.84,0.29,3.16,0.26,1,4.51,0.309,10,217,0.65,0.29,24.6,5
D229170,Core,2006,2,adult,3,SAA,2004,44,3,2.24,0.97,0.41,5.03,0.238,1,3.83,0.25,0,223,0.97,0.32,4,12
D229186,Core,2006,2,adult,5,SAA,2004,10,1,41.15,0.93,0,3.33,0.262,1,NA,NA,NA,NA,1,0.34,5.1,4
D229193,Core,2007,3,adult,5,KUM,2004,40,16,6.4,1,0.4,2.74,0.249,1,4.66,0.258,0,230,0.92,0.08,11.07,3
D229658,Core,2007,2,adult,4,KUM,2005,40,0,20.81,0.44,0.48,2.24,0.263,1,3.65,0.255,0,209,0.73,0.29,7.63,1
