id,born,site,id_short,sitename,lifespan,succ.years,strategy,leks,LMS,age,year,on.lek,lekking,tenureyear,surv,leksize,density,tarsus,wing,mass,lyre,blue,eyec,attend,fight,dist,MS,mean_ig_post,mean_ig_pre,mean_ig,mean_caro_post,mean_caro_pre,mean_caro,smlh,froh1,spots_feather,spots_tip,mean_hct_post,mean_hct_pre,mean_hct,mean_rbc_area_post,mean_rbc_area_pre,mean_rbc_width_post,mean_rbc_width_pre,mean_rbc_length_post,mean_rbc_length_pre,mean_rbc_area,mean_rbc_length,mean_rbc_width,mean_microf_post,mean_microf_pre,mean_leuco_post,mean_leuco_pre,mean_trypa_post,mean_trypa_pre,mean_microf,mean_leuco,mean_trypa
D154259,1999,TEE,D259,Teerisuo,6,NA,NA,NA,NA,3,2002,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0.979200322809099,0.161798370956203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D154259,1999,TEE,D259,Teerisuo,6,NA,NA,NA,NA,4,2003,1,1,NA,NA,NA,7.4,60.5,276,1330,NA,0.268,4.99,1,0.37,8.65,4,NA,NA,NA,NA,NA,NA,0.979200322809099,0.161798370956203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D154259,1999,TEE,D259,Teerisuo,6,NA,NA,NA,NA,5,2004,1,1,NA,NA,NA,7,61.4,277,1270,247,0.269,4.55,0.96,0.33,5,3,NA,NA,NA,NA,NA,NA,0.979200322809099,0.161798370956203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D154259,1999,TEE,D259,Teerisuo,6,NA,NA,NA,NA,6,2005,1,0,NA,NA,NA,7.1,61.3,279,1310,NA,0.278,4.34,1,0.12,7.16,1,1175219,943814,1059516.5,40.4767460202829,30.7869781672634,37.2468234026097,0.979200322809099,0.161798370956203,NA,NA,0.4762,0.504,0.4901,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,92.5,0,0.5,3.5,0,118.75,0.25,1.75
D154280,2001,NYR,D280,Nyrölä,2,1,LLS,1,1,1,2002,1,0,NA,1,16,6.2,60,258,1160,191,0.243,2.63,0.128205128205128,NA,NA,0,NA,1097532,1097532,NA,NA,NA,1.02344307474676,0.151772913190635,NA,NA,NA,0.5053,0.5053,NA,64.6826,NA,6.9877,NA,11.3821,64.6826,11.3821,6.9877,NA,1.5,NA,NA,NA,NA,1.5,NA,NA
D154280,2001,NYR,D280,Nyrölä,2,1,LLS,1,1,2,2003,1,1,1,0,13,7.4,NA,NA,NA,NA,NA,NA,0.52,0.18,32.52,1,NA,NA,NA,NA,NA,NA,1.02344307474676,0.151772913190635,NA,NA,NA,0.5158,0.5158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.5,NA
D154288,2001,NYR,D288,Nyrölä,2,1,LLS,1,1,1,2002,0,0,NA,1,16,6.2,60.3,265,1230,189,0.228,3.46,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1.02597139132972,0.145674591017221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D154288,2001,NYR,D288,Nyrölä,2,1,LLS,1,1,2,2003,1,1,1,0,13,7.4,60.2,274,1270,222,0.274,3.81,0.8,0.12,36,1,NA,915611,915611,NA,NA,NA,1.02597139132972,0.145674591017221,NA,NA,NA,0.494510368663594,0.494510368663594,NA,67.835,NA,7.4198,NA,11.6308,67.835,11.6308,7.4198,NA,12.5,NA,0,NA,0,12.5,0,0
D154299,2002,TEE,D299,Teerisuo,3,1,LLS,2,3,1,2003,0,0,NA,1,8,7.4,58.5,264,1200,170,0.284,2.22,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0.986851318170515,0.181120516466163,NA,NA,NA,0.5445,0.5445,NA,62.4789,NA,8.3898,NA,9.4038,62.4789,9.4038,8.3898,NA,NA,NA,NA,NA,NA,NA,NA,NA
D154299,2002,TEE,D299,Teerisuo,3,1,LLS,2,3,2,2004,1,1,1,1,10,7,58.5,270,1290,209,0.266,4.54,0.95,0.23,19.03,0,5836303,3037552,4903386,NA,NA,NA,0.986851318170515,0.181120516466163,0,0,NA,0.5426,0.5426,NA,67.6661,NA,7.1291,NA,11.9103,67.6661,11.9103,7.1291,NA,NA,NA,NA,NA,NA,NA,NA,NA
