id,born,site,died,id_short,sitename,lifespan,succ.years,strategy,leks,LMS,on.lek_Y1,on.lek_Y2,on.lek_Y3,on.lek_Y4,on.lek_Y5,on.lek_Y6,lekking_Y1,lekking_Y2,lekking_Y3,lekking_Y4,lekking_Y5,lekking_Y6,surv_Y1,surv_Y2,surv_Y3,surv_Y4,surv_Y5,surv_Y6,wing_Y1,wing_Y2,wing_Y3,wing_Y4,wing_Y5,wing_Y6,tarsus_Y1,tarsus_Y2,tarsus_Y3,tarsus_Y4,tarsus_Y5,tarsus_Y6,mass_Y1,mass_Y2,mass_Y3,mass_Y4,mass_Y5,mass_Y6,lyre_Y1,lyre_Y2,lyre_Y3,lyre_Y4,lyre_Y5,lyre_Y6,blue_Y1,blue_Y2,blue_Y3,blue_Y4,blue_Y5,blue_Y6,eyec_Y1,eyec_Y2,eyec_Y3,eyec_Y4,eyec_Y5,eyec_Y6,attend_Y1,attend_Y2,attend_Y3,attend_Y4,attend_Y5,attend_Y6,fight_Y1,fight_Y2,fight_Y3,fight_Y4,fight_Y5,fight_Y6,dist_Y1,dist_Y2,dist_Y3,dist_Y4,dist_Y5,dist_Y6,MS_Y1,MS_Y2,MS_Y3,MS_Y4,MS_Y5,MS_Y6,density_Y1,density_Y2,density_Y3,density_Y4,density_Y5,density_Y6,rbc_area_Y1_1,rbc_area_Y2_1,rbc_area_Y3_1,rbc_area_Y4_1,rbc_area_Y5_1,rbc_area_Y6_1,rbc_width_Y1_1,rbc_width_Y2_1,rbc_width_Y3_1,rbc_width_Y4_1,rbc_width_Y5_1,rbc_width_Y6_1,rbc_length_Y1_1,rbc_length_Y2_1,rbc_length_Y3_1,rbc_length_Y4_1,rbc_length_Y5_1,rbc_length_Y6_1,ig_Y1_1,ig_Y1_2,ig_Y1_3,ig_Y1_4,ig_Y2_1,ig_Y2_2,ig_Y2_3,ig_Y2_4,ig_Y2_5,ig_Y3_1,ig_Y3_2,ig_Y3_3,ig_Y4_1,ig_Y4_2,ig_Y4_3,ig_Y5_1,ig_Y5_2,ig_Y6_1,ig_Y6_2,caro_Y1_1,caro_Y2_1,caro_Y2_2,caro_Y2_3,caro_Y2_4,caro_Y3_1,caro_Y3_2,caro_Y3_3,caro_Y4_1,caro_Y4_2,caro_Y5_1,caro_Y5_2,caro_Y5_3,caro_Y6_1,caro_Y6_2,caro_Y6_3,smlh,froh1,spots_Y1_1.feather,spots_Y1_2.feather,spots_Y2_1.feather,spots_Y3_1.feather,spots_Y4_1.feather,spots_Y5_1.feather,spots_Y6_1.feather,spots_Y1_1.tip,spots_Y1_2.tip,spots_Y2_1.tip,spots_Y3_1.tip,spots_Y4_1.tip,spots_Y5_1.tip,spots_Y6_1.tip,hct_Y1_1,hct_Y1_2,hct_Y1_3,hct_Y1_4,hct_Y2_1,hct_Y2_2,hct_Y2_3,hct_Y2_4,hct_Y2_5,hct_Y3_1,hct_Y3_2,hct_Y4_1,hct_Y4_2,hct_Y4_3,hct_Y5_1,hct_Y5_2,hct_Y6_1,hct_Y6_2,microfage_Y1_1,microfage_Y1_2,microfage_Y1_3,microfage_Y1_4,microfage_Y2_1,microfage_Y2_2,microfage_Y2_3,microfage_Y2_4,microfage_Y2_5,microfage_Y3_1,microfage_Y3_2,microfage_Y3_3,microfage_Y4_1,microfage_Y4_2,microfage_Y4_3,microfage_Y5_1,microfage_Y5_2,microfage_Y6_1,microfage_Y6_2,leucoage_Y1_1,leucoage_Y1_2,leucoage_Y1_3,leucoage_Y2_1,leucoage_Y2_2,leucoage_Y2_3,leucoage_Y2_4,leucoage_Y2_5,leucoage_Y3_1,leucoage_Y3_2,leucoage_Y4_1,leucoage_Y4_2,leucoage_Y4_3,leucoage_Y5_1,leucoage_Y5_2,leucoage_Y6_1,leucoage_Y6_2,trypaage_Y1_1,trypaage_Y1_2,trypaage_Y1_3,trypaage_Y2_1,trypaage_Y2_2,trypaage_Y2_3,trypaage_Y2_4,trypaage_Y2_5,trypaage_Y3_1,trypaage_Y3_2,trypaage_Y4_1,trypaage_Y4_2,trypaage_Y4_3,trypaage_Y5_1,trypaage_Y5_2,trypaage_Y6_1,trypaage_Y6_2
D154259,1999,TEE,2005,D259,Teerisuo,6,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,277,279,NA,NA,NA,60.5,61.4,61.3,NA,NA,NA,1330,1270,1310,NA,NA,NA,NA,247,NA,NA,NA,NA,0.268,0.269,0.278,NA,NA,NA,4.99,4.55,4.34,NA,NA,NA,1,0.96,1,NA,NA,NA,0.37,0.33,0.12,NA,NA,NA,8.65,5,7.16,NA,NA,7,4,3,1,NA,NA,6.2,7.4,7,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943814,1175219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7869781672634,69.7660866369061,11.1874054036596,0.979200322809099,0.161798370956203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.504,0.4762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.5
D154280,2001,NYR,2003,D280,Nyrölä,2,1,LLS,1,1,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,258,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,1160,NA,NA,NA,NA,NA,191,NA,NA,NA,NA,NA,0.243,NA,NA,NA,NA,NA,2.63,NA,NA,NA,NA,NA,0.128205128205128,0.52,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,32.52,NA,NA,NA,NA,0,1,NA,NA,NA,NA,6.2,7.4,NA,NA,NA,NA,64.6826,NA,NA,NA,NA,NA,6.9877,NA,NA,NA,NA,NA,11.3821,NA,NA,NA,NA,NA,1222272,972792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02344307474676,0.151772913190635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5106,0.5,NA,NA,0.5158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D154288,2001,NYR,2003,D288,Nyrölä,2,1,LLS,1,1,0,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,265,274,NA,NA,NA,NA,60.3,60.2,NA,NA,NA,NA,1230,1270,NA,NA,NA,NA,189,222,NA,NA,NA,NA,0.228,0.274,NA,NA,NA,NA,3.46,3.81,NA,NA,NA,NA,0,0.8,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,0,1,NA,NA,NA,NA,6.2,7.4,NA,NA,NA,NA,NA,67.835,NA,NA,NA,NA,NA,7.4198,NA,NA,NA,NA,NA,11.6308,NA,NA,NA,NA,NA,NA,NA,NA,835861,995361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02597139132972,0.145674591017221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511520737327189,0.4775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D154299,2002,TEE,2005,D299,Teerisuo,3,1,LLS,2,3,0,1,1,NA,NA,NA,0,1,1,NA,NA,NA,1,1,0,NA,NA,NA,264,270,271,NA,NA,NA,58.5,58.5,60.2,NA,NA,NA,1200,1290,1330,NA,NA,NA,170,209,NA,NA,NA,NA,0.284,0.266,0.255,NA,NA,NA,2.22,4.54,4.93,NA,NA,NA,0,0.95,1,NA,NA,NA,NA,0.23,0.36,NA,NA,NA,NA,19.03,9.49,NA,NA,NA,0,0,3,NA,NA,NA,7.4,7,7.1,NA,NA,NA,62.4789,67.6661,71.9791,NA,NA,NA,8.3898,7.1291,6.5102,NA,NA,NA,9.4038,11.9103,12.7227,NA,NA,NA,NA,NA,NA,NA,4350734,7321872,3037552,NA,NA,3193891,5743516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3294539054523,48.5380245832584,7.87189032126783,NA,NA,NA,NA,NA,NA,NA,NA,0.986851318170515,0.181120516466163,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0.5445,NA,NA,NA,0.5426,NA,NA,NA,NA,0.5033,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,114.5,NA,NA,NA,NA,NA,NA,NA
D211308,2001,NYR,2003,D308,Nyrölä,2,1,LLS,2,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,267,273,NA,NA,NA,NA,59.6,58.7,NA,NA,NA,NA,1270,1280,NA,NA,NA,NA,187,213,NA,NA,NA,NA,0.252,0.253,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,0.88,0.95,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,19.45,9.74,NA,NA,NA,NA,0,1,NA,NA,NA,NA,6.2,7.4,NA,NA,NA,NA,78.869,77.8173,NA,NA,NA,NA,8.1168,7.8195,NA,NA,NA,NA,12.7242,12.6512,NA,NA,NA,NA,947330,888583.5,717911,NA,582780,412457,453260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987778217685162,0.189265644835397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5365,0.5142,0.4918,0.5246,0.543918918918919,0.5274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,150,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211312,2000,NYR,2005,D312,Nyrölä,5,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,268,268,271,267,NA,NA,55.9,56,57.4,56.2,NA,NA,1170,1100,1110,1070,NA,NA,218,214,217,214,NA,NA,NA,0.271,0.277,0.272,NA,NA,3.42,3.88,4.91,2.65,NA,NA,0.03,0.79,0.97,0.88,NA,NA,NA,0.31,0.19,0.15,NA,NA,NA,29.9,13,17.12,NA,NA,0,1,0,0,NA,NA,6.2,7.4,7,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482388,1194991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2477866365167,56.0854236501112,6.14695064324919,NA,NA,NA,0.986996887093524,0.158516536468882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,0.5131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,67.5,NA,NA
D211320,2001,NYR,2005,D320,Nyrölä,4,2,LLS,2,14,1,1,1,1,NA,NA,0,1,0,1,NA,NA,1,1,1,0,NA,NA,268,272,NA,271,NA,NA,59.6,NA,NA,59.7,NA,NA,1220,NA,NA,1340,NA,NA,193,NA,NA,233,NA,NA,0.276,NA,NA,0.268,NA,NA,3.44,NA,NA,4.63,NA,NA,0.01,1,0.04,0.95,NA,NA,NA,0.31,NA,0.34,NA,NA,NA,13.79,NA,3,NA,NA,0,8,0,6,NA,NA,6.2,7.4,7,7.1,NA,NA,73.0824,NA,NA,71.3107,NA,NA,7.6674,NA,NA,7.2964,NA,NA,12.0074,NA,NA,12.1114,NA,NA,2016990,2554442,2816491,1521608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0208601833134,NA,NA,NA,NA,NA,NA,NA,0.995140313196027,0.152855724847888,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0.5435,0.5498,0.4992,0.5092,0.4988,NA,NA,NA,NA,NA,NA,0.5167,NA,NA,NA,NA,NA,NA,0,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,70.5,NA,NA,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
D211334,2000,LEH,2006,D334,Lehtusuo,6,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,273,273,272,276,280,NA,59.1,60.8,59.6,59.6,59.5,NA,1230,1280,1310,1300,1330,NA,218,213,219,216,212,NA,NA,0.287,0.283,0.289,0.266,NA,NA,4.88,3.19,2.78,NA,NA,0.5,1,0.97,1,0.97,NA,0.75,0.1,0.17,0.48,NA,NA,34.05,15.04,6,7.21,16.28,NA,0,0,0,1,1,NA,6.2,7.4,7,7.1,10.4,NA,NA,NA,78.41,74.9005,NA,NA,NA,NA,7.626,7.103,NA,NA,NA,NA,13.098,13.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2321370,2484637,2603110,2225951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8937851191007,7.08259074413956,NA,8.74336387028347,NA,NA,1.01170241862839,0.149146883996617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5203,NA,NA,0.5328,0.4955,0.514,0.4856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5,138.333333333333,42.5,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.33333333333333,0,19.5
D211341,2001,KUM,2004,D341,Kummunsuo,3,1,LLS,2,3,1,1,1,NA,NA,NA,0,1,1,NA,NA,NA,1,1,0,NA,NA,NA,262,270,270,NA,NA,NA,63,60.3,60.1,NA,NA,NA,1190,1260,1240,NA,NA,NA,182,224,228,NA,NA,NA,0.253,0.248,0.266,NA,NA,NA,NA,2.1,1.79,NA,NA,NA,0.08,0.96,0.49,NA,NA,NA,NA,0.42,0.32,NA,NA,NA,NA,17.36,32.42,NA,NA,NA,0,3,0,NA,NA,NA,6.2,7.4,7,NA,NA,NA,78.392,75.9341,86.1293,NA,NA,NA,7.1576,7.188,8.3585,NA,NA,NA,13.315,13.2457,12.4738,NA,NA,NA,2621095,1284820,1091214,NA,926277,817091,NA,NA,NA,8477313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997498779363255,0.153777756403185,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.5789,0.5224,0.5574,NA,0.493650793650794,0.5061,NA,NA,NA,0.5213,NA,NA,NA,NA,NA,NA,NA,NA,4,47.5,14,NA,100,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211349,2001,NYR,2004,D349,Nyrölä,3,1,LLS,3,8,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,0,NA,NA,NA,265,278,275,NA,NA,NA,60.4,60.2,61.5,NA,NA,NA,1170,1270,1240,NA,NA,NA,202,229,228,NA,NA,NA,NA,0.266,0.274,NA,NA,NA,NA,3.41,3.06,NA,NA,NA,0.82,0.99,1,NA,NA,NA,0.03,0.38,0.42,NA,NA,NA,19.87,13.39,2,NA,NA,NA,0,0,8,NA,NA,NA,6.2,7.4,7,NA,NA,NA,73.861,71.4254,63.5318,NA,NA,NA,7.3288,7.733,7.2713,NA,NA,NA,12.6229,11.6463,10.8138,NA,NA,NA,2613895,1276704,NA,NA,1692610,1029192,633438,530466,NA,2131772,2769433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02292924290469,0.148995156276629,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.52705,0.4828,NA,NA,0.51378092320158,0.4957,0.5104,0.4839,NA,0.4516,NA,NA,NA,NA,NA,NA,NA,NA,10.5,25,NA,NA,72.5,25,75,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
