sample	mean_coverage	median_coverage
10	0.139545	0
11	1.2072	0
279	0.443462	0
280	1.68028	0
285	1.32989	0
286	1.6057	0
299	0.987237	0
300	2.06337	0
301	2.38239	0
302	0.708888	0
303	0.776799	0
304	0.609661	0
335	1.77926	0
349	0.823434	0
350	1.09157	0
351	2.70496	0
3	0.921674	0
401	0.827473	0
40	0.578513	0
41	2.76925	0
56	0.957023	0
5	1.09818	0
119	2.48712	0
121	2.59848	0
135	0.234898	0
136	2.15688	0
175	1.00528	0
176	0.889631	0
191	1.40055	0
263	0.594968	0
416	1.09287	0
417	0.587113	0
418	0.852455	0
423	1.04765	0
428	0.534076	0
429	1.05302	0
430	1.15525	0
436	1.11619	0
437	1.36823	0
438	0.684161	0
443	1.03029	0
70	0.61631	0
71	1.81525	0
7	2.60032	0
126	1.64344	0
127	0.706342	0
161	2.51399	0
162	3.92452	0
163	2.74372	0
250	0.892625	0
251	0.709719	0
252	1.13627	0
254	0.764884	0
255	0.888489	0
256	1.06089	0
257	1.70667	0
258	1.50129	0
34	1.59614	0
35	0.551443	0
36	0.774958	0
370	0.99022	0
371	1.47823	0
377	0.628598	0
378	0.611426	0
379	0.771025	0
37	0.223569	0
111	3.03644	0
119	5.66837	0
121	3.4463	0
135	1.15366	0
136	4.12426	0
175	1.73459	0
176	1.08137	0
191	2.70519	0
1	3.91134	0
250	2.07967	0
32	2.75387	0
56	2.25037	0
63	0.555643	0
70	1.99879	0
71	2.33972	0
7	4.48057	0
