sample	mean_coverage	median_coverage
110_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.6561	20
111_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.3541	18
113_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.2632	20
114_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.3484	21
131_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.4674	15
132_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.0394	18
164_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.7472	18
165_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	18.552	14
166_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.8703	20
192_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	55.0045	32
193_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.3818	23
194_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.737	15
195_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.7068	19
196_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	59.9692	40
197_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.792	26
213_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.4419	20
214_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	74.9002	37
215_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.4437	22
216_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.3547	15
217_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.1973	18
218_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.3326	23
71_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.0305	16
106_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	43.523	28
107_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.0991	17
108_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.7222	15
109_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	18.8892	15
128_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	36.6789	24
129_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.8664	16
130_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.9061	23
133_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.8682	18
134_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.3276	18
135_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.8583	19
140_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.3958	14
141_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.7263	22
142_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.8377	18
143_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.3394	18
14_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.2456	23
16_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	52.765	30
454_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	18.9938	15
455_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.8754	19
456_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.9613	18
457_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	36.0867	24
77_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	61.2884	42
78_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	55.5909	37
136_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.1626	25
169_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	38.4628	25
170_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.3795	15
171_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	18.2664	14
172_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.724	22
173_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	30.5957	21
21_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	45.9434	30
23_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.805	20
24_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.9505	20
26_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.6654	20
276_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.527	16
277_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.5671	19
278_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.3285	22
281_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.5301	18
444_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.6471	17
445_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	30.5427	21
446_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	38.915	26
447_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	43.9532	30
47_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	57.2366	37
48_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.7688	15
86_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.4701	17
87_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	40.3213	23
167_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.3294	23
168_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.8871	16
174_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.9545	16
175_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.0699	16
231_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.2694	18
232_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.8234	19
346_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.2278	13
347_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.8681	22
348_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	42.7107	27
352_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.1248	20
353_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.8153	27
354_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.8059	17
355_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.3249	20
451_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.5656	15
452_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.9794	15
453_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.879	16
67_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.9333	16
68_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	68.5129	48
69_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	37.0517	27
72_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	49.9351	35
84_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.2158	16
85_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.7294	20
176_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.9262	13
227_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.0532	13
228_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.5351	14
229_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.334	18
238_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.0118	17
239_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.973	17
240_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.3194	23
269_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.8952	18
270_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.0617	17
282_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.5486	14
283_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.8614	16
284_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.2575	19
307_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.7669	16
308_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.1572	20
309_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.9687	17
310_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.7817	16
394_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.8267	22
395_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.9076	18
59_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.1228	15
95_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.5192	18
96_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.7057	17
97_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.6891	18
104_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.021	16
105_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.5931	17
124_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.833	22
125_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.4789	15
403_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	46.1912	32
404_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	37.6882	26
405_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	34.1543	24
406_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.4051	24
419_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.7147	18
420_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.148	16
57_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.0251	23
58_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	40.7147	28
61_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.2673	23
62_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.8047	21
73_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.3431	19
74_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	30.4844	20
75_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	42.0076	27
76_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	38.0206	24
88_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.3781	22
89_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.4939	21
91_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	43.2996	28
92_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.9254	19
137_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	34.7527	23
138_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.1431	16
139_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.736	20
144_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.4993	23
145_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.1815	20
147_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	36.181	24
148_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	43.1428	31
149_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	46.1185	29
150_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	38.1737	26
221_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	11.7027	12
222_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.6822	18
233_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.9436	16
236_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.5629	17
237_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.1251	17
241_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.4826	18
242_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.7706	18
412_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.9772	23
413_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	30.4864	21
414_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.5939	21
448_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.9777	17
449_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	30.0881	20
450_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.6421	20
259_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	48.7353	32
260_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	59.1628	35
