library	sample	base	mean	median	lower_quartile	upper_quartile	10th_percentile	90th_percentile
lib1	110_trimmed_filt_merged.1	1	36.173892649405296	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	2	36.20042016575505	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	3	35.13967563329493	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	4	35.591645871073524	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	5	35.621070969334504	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	6	35.53102397649126	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	7	35.49900789101371	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	8	35.65541009922924	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	9	35.5983195466172	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	10-14	35.61224122556119	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	15-19	35.46145952701086	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	20-24	35.31233628476324	37.0	37.0	37.0	37.0	37.0
lib1	110_trimmed_filt_merged.1	25-29	35.155552622832765	37.0	37.0	37.0	27.4	37.0
lib1	110_trimmed_filt_merged.1	30-34	35.018437010220325	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	35-39	34.91781478024383	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	40-44	34.70862587092962	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	45-49	34.59326150929233	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	50-54	34.46254330153407	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	55-59	34.29603358467589	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	60-64	34.173613183789925	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	65-69	34.00713185014525	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	70-74	33.86577859970473	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	75-79	33.74565006547584	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	80-84	33.529598178156405	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	85-89	33.40639615567987	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.1	90-94	33.24077999563857	37.0	37.0	37.0	13.8	37.0
lib1	110_trimmed_filt_merged.1	95-99	33.03919144569598	37.0	37.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.1	100-104	32.784273763823705	37.0	37.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.1	105-109	32.74207047636243	37.0	37.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.1	110-114	32.51193458977539	37.0	37.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.1	115-119	32.25841219640568	37.0	37.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.1	120-124	31.98846411704078	37.0	32.2	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.1	125-129	31.801593872578508	37.0	25.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.1	130-134	31.63378086924082	37.0	25.0	37.0	11.0	37.0
