sample	efficiency
110	45.1
111	47.1
113	50.1
114	49.1
131	45.2
132	44.6
164	45.2
165	45.8
166	47.7
192	47.4
193	47.0
194	45.2
195	45.9
196	47.9
197	44.5
213	45.1
214	42.7
215	44.1
216	45.7
217	47.2
218	44.1
71	50.3
106	43.7
107	46.9
108	46.0
109	48.2
128	55.6
129	49.3
130	51.0
133	46.0
134	48.6
135	50.3
140	50.9
141	48.4
142	49.6
143	49.8
14	52.3
16	47.6
454	48.7
455	49.8
456	50.4
457	47.8
77	50.7
78	50.0
136	47.9
169	46.3
170	47.3
171	47.0
172	49.2
173	47.7
21	51.6
23	48.1
24	55.8
26	55.4
276	47.4
277	49.7
278	49.1
281	46.2
444	50.4
445	49.6
446	46.9
447	50.7
47	51.4
48	52.0
86	48.1
87	48.7
167	43.4
168	52.7
174	47.8
175	49.1
231	50.5
232	48.6
346	47.5
347	48.8
348	48.5
352	51.5
353	49.2
354	50.5
355	46.9
451	48.9
452	50.7
453	52.0
67	47.9
68	48.6
69	50.3
72	48.4
84	51.5
85	48.1
176	46.6
227	47.7
228	47.8
229	49.3
238	48.6
239	48.1
240	45.3
269	48.8
270	47.2
282	44.7
283	45.5
284	50.4
307	50.2
308	47.8
309	46.5
310	48.9
394	48.4
395	44.6
59	53.9
95	50.2
96	48.7
97	48.5
10	52.1
11	49.4
279	51.3
280	47.1
285	44.1
286	48.0
299	49.9
300	49.3
301	50.9
302	50.6
303	52.3
304	51.5
335	47.7
349	49.5
350	48.8
351	48.9
3	53.1
401	45.7
40	50.2
41	50.4
56	52.7
5	49.9
104	47.4
105	48.2
124	56.4
125	45.8
403	50.8
404	51.0
405	50.8
406	51.0
419	49.6
420	51.0
57	53.7
58	53.8
61	54.5
62	55.0
73	53.2
74	56.4
75	56.8
76	56.2
88	53.4
89	52.8
91	51.5
92	50.2
137	48.4
138	48.6
139	48.9
144	49.6
145	49.6
147	50.3
148	53.6
149	50.5
150	49.0
221	50.3
222	48.6
233	51.4
236	51.6
237	53.1
241	50.8
242	49.8
412	51.7
413	52.1
414	48.0
448	47.4
449	51.9
450	48.9
259	47.0
260	50.7
311	47.7
312	50.8
313	48.8
322	43.3
323	48.5
329	44.1
330	50.6
331	49.0
332	49.1
333	50.3
334	50.9
342	48.8
343	50.3
344	45.1
367	46.0
368	47.8
369	46.1
421	48.4
422	48.7
70	52.4
146	49.5
189	49.0
226	50.4
230	52.5
248	50.7
27	51.2
382	52.0
383	51.8
386	50.4
387	52.7
38	53.5
397	50.9
398	51.0
399	51.8
39	54.0
424	48.6
425	51.3
426	51.3
427	51.7
434	50.0
435	51.1
90	54.3
249	49.2
287	50.0
315	50.4
328	49.2
356	50.5
357	50.4
358	51.8
362	48.9
363	48.3
364	51.4
384	50.9
385	50.7
388	51.2
396	50.2
411	52.6
415	50.3
439	49.2
440	51.2
441	51.4
442	50.6
458	47.5
459	47.2
115	48.5
116	44.3
151	52.3
152	51.1
1	46.6
243	47.1
244	46.9
245	45.2
246	47.8
247	48.8
261	48.3
262	45.9
326	48.5
327	48.7
359	43.5
360	47.2
361	47.3
53	45.7
54	50.5
7	55.1
8	47.4
9	50.5
119	48.1
121	46.9
135	46.0
136	48.8
175	45.6
176	49.9
191	44.6
263	49.6
416	48.7
417	51.1
