region,model,pre_control,n
Upstream,Centrality,No With pre-lekking methylation %-lekking methylation %,1
Downstream,Delta body mass,No With pre-lekking methylation %-lekking methylation %,2
Gene body,Delta body mass,No With pre-lekking methylation %-lekking methylation %,2
Intron,Delta body mass,No With pre-lekking methylation %-lekking methylation %,2
Upstream,Delta body mass,No With pre-lekking methylation %-lekking methylation %,1
Upstream,Delta IgG,No With pre-lekking methylation %-lekking methylation %,2
Downstream,Attendance,With pre-lekking methylation %,1
Exon,Attendance,With pre-lekking methylation %,1
5' UTR,Attendance,With pre-lekking methylation %,1
Gene body,Attendance,With pre-lekking methylation %,1
Upstream,Attendance,With pre-lekking methylation %,3
Exon,Fighting rate,With pre-lekking methylation %,1
Gene body,Fighting rate,With pre-lekking methylation %,2
Intron,Fighting rate,With pre-lekking methylation %,1
Upstream,Fighting rate,With pre-lekking methylation %,3
Upstream,Centrality,With pre-lekking methylation %,1
Downstream,Delta body mass,With pre-lekking methylation %,1
Exon,Delta body mass,With pre-lekking methylation %,1
5' UTR,Delta body mass,With pre-lekking methylation %,1
Gene body,Delta body mass,With pre-lekking methylation %,1
Upstream,Delta body mass,With pre-lekking methylation %,1
Exon,Delta Microfilaria spp. ,With pre-lekking methylation %,1
5' UTR,Delta Microfilaria spp. ,With pre-lekking methylation %,1
Gene body,Delta Microfilaria spp. ,With pre-lekking methylation %,1
Promoter,Delta Microfilaria spp. ,With pre-lekking methylation %,1
TSS,Delta Microfilaria spp. ,With pre-lekking methylation %,1
Upstream,Delta Microfilaria spp. ,With pre-lekking methylation %,1
Upstream,Delta IgG,With pre-lekking methylation %,2
Promoter,Delta HCT,With pre-lekking methylation %,1
Upstream,Delta HCT,With pre-lekking methylation %,1
